0;2,3,4,5,9
1;2,4,9
2;5,14
3;5,8,14
4;5
5;1,6,16
6;5,14
7;2,4
8;1
9;1,2,16
10;5,8,14
11;5,11
12;2,3,4
13;8
14;1,2,14
15;6,8
16;8,14
17;5
18;5
19;1,5,6,8,16
20;5,6,16
21;6,8,11,13,16
22;1,6,16
23;8,15
24;8,14
25;8
26;4,8
27;8,14
28;2,8,9,13,15
29;6,8
30;8
31;13,15,16
32;4,8
33;6,8
34;4,5
35;5,14
36;8
37;8,17
38;1,6,8
39;8
40;1,2,9
41;5,8,16
42;8,14
43;13,16
44;3,4,8,12,14
45;8,14
46;6,13,16
47;5,8,14
48;2,8
49;4,5
50;8
51;8
52;5,8,14
53;2,4,9
54;8,16
55;8
56;5,6
57;5,14
58;5
59;1,15,16
60;5,14
61;5
62;1,5,11,16
63;1
64;5,8
65;8,17
66;8,14
67;5,8
68;1,15,16
69;7
70;1,6,8,16
71;8,16
72;4,8
73;6,8,14
74;5,8
75;8,14
76;8,14
77;1,2,8
78;4,5
79;5
80;1,16
81;8,11,16
82;5,11,14
83;5,8,14
84;1,2,16
85;5,8
86;6,8
87;7
88;8,16
89;2,5,6,14
90;5
91;13,15,16
92;5
93;8,14
94;5,8
95;2,4,5,12
96;7
97;1,8,17
98;6,8,16
99;1,2,5,6
100;8,13
101;7
102;6,8
103;5,14
104;5
105;8
106;5,14
107;8,13,14
108;5
109;2,4,9
110;7
111;5,14
112;16
113;5
114;7
115;8,14
116;5
117;5
118;1,5,6,8,16
119;2,4
120;8
121;8
122;6,8,16
123;2,8
124;1,8,14,17
125;8,11
126;1,2,5,6
127;8
128;2,8,17
129;5,8
130;5,17
131;2,4
132;6,8,13
133;1,2,13,15
134;8,16,17
135;7
136;1,14,18
137;6,10,13,16
138;1,6,16
139;5,6,8
140;1,8,14
141;2,4,8
142;1,2,6,16
143;5,8
144;1,15,16
145;1,6,15
146;5
147;8
148;5
149;11
150;5,8
151;8,14
152;5,14
153;1,4
154;5,11,16
155;8
156;1,6,16
157;5,14
158;5
159;9,11,13
160;5,9
161;16
162;8,14
163;8
164;5,8
165;5,8,14
166;11,15
167;1,6,8,13,15,16
168;8,12,14
169;8,9
170;8,14
171;5
172;1
173;5,8
174;7
175;8,14
176;1,2,15
177;8
178;18
179;8
180;2,5,6,13
181;8
182;8,17
183;8,14
184;5
185;8,16
186;5,8
187;8
188;11
189;8,14
190;5
191;5,8,14
192;8,16
193;1,16
194;5
195;8,16
196;8,16
197;2,5
198;5,8,14
199;8
200;5
201;5,8
202;1,5,14
203;5,14
204;2,4
205;3,4,5,14
206;16
207;4,8
208;8,12
209;4,5,9
210;7
211;6,8
212;5
213;8,14
214;4,5
215;1
216;5,14
217;8,11
218;8
219;5
220;5,15
221;13,16
222;2,4,5,9,14
223;6,8,16
224;1,2,15
225;8
226;4,8
227;8
228;8,9,14
229;8,14,17,18
230;5
231;8
232;8,14
233;8
234;5,8
235;8,11,15
236;5
237;5
238;5,14
239;8
240;5
241;8
242;8,16
243;5,8,14
244;8
245;6,8
246;1,6
247;8,11
248;5,14
249;1,6,16
250;5,14
251;6,8
252;8,16
253;1,8,15,16
254;1,6,8,16
255;5,14
256;5,14
257;5,6,8,16
258;8
259;8
260;8
261;8,14
262;8,14
263;1,16,18
264;5,8
265;5
266;8
267;8
268;5,8
269;5
270;11,16
271;5
272;3,4
273;4,8,9,13
274;1,8,16
275;1,2,15
276;5,8,9
277;6,8
278;5,8,16
279;10,16
280;8
281;5,8
282;5,8
283;5
284;8
285;1,5,15
286;11,16
287;2,8,15
288;1,6,11
289;8
290;11,15
291;5
292;8
293;13,16
294;8,17
295;8
296;1,15,16
297;5,14
298;2,8,17
299;8
300;5
301;4
302;5
303;5,8
304;8,12
305;8,10,14
306;5
307;1,6,8,16
308;8,13,16
309;5,8,14
310;5,8
311;1,6,9,16
312;8
313;4,5,9
314;5,8,14,17
315;5,14
316;8
317;5,8,14
318;1,5
319;5,8,14
320;2,4,14
321;7
322;2,3,4,8,12
323;8
324;8,11,13,16
325;1,5,6,9
326;2,5,18
327;8
328;1,5
329;5,8
330;5,8,14
331;16
332;4,5
333;1,16
334;1,14,16
335;5,14
336;1,15,16
337;1,2,5,14,16
338;8,14
339;8,11,14,16
340;18
341;1,6,8
342;8
343;8
344;1,5
345;8
346;8,14,17
347;1,6,8
348;6,8
349;1,2,9
350;1,9
351;8
352;11,16
353;8
354;6,8
355;4,5,9
356;8
357;5
358;5
359;5,16
360;18
361;5,14
362;8
363;5
364;1,5,6,16
365;2,4,8
366;16
367;1,16
368;8
369;8,14
370;11,15,16
371;8,13,14,16
372;8
373;5
374;5,8
375;6,8
376;2,5,18
377;5
378;1,2,16
379;5,15
380;8,16
381;5
382;1,5,8
383;5,14
384;5
385;1,2,15
386;5,14
387;5
388;8,14
389;8
390;5
391;5,8
392;8,13,14
393;8
394;5,14
395;8,16
396;2,4,8
397;6,8,16
398;16
399;8,18
400;1,2,6,8,14,16
401;5
402;8,14
403;1,2,6,16
404;1,5,17
405;5
406;5,14
407;8,14
408;5
409;5
410;5,8
411;5,17
412;1,16
413;8
414;5,8
415;8,12
416;5,6,8
417;1,6,16
418;1,2,15,16
419;8,16
420;6,8,16
421;2,4
422;1,2,5,9
423;5
424;5,18
425;8,14
426;5
427;16
428;8
429;5,13
430;1,6,8
431;1,2,16
432;8
433;5,8,14,16
434;5,14
435;5,14
436;5,8
437;8
438;1,4,14
439;1,8,15
440;5
441;8,9,14
442;6,8,16
443;8
444;8,14
445;8
446;1,8
447;11,15
448;5,13,14
449;5
450;8,14
451;5,8
452;1,8,13
453;5
454;1,6,8,15,16
455;5
456;6,16
457;1,8
458;8
459;8
460;8
461;8,17
462;5,8
463;8
464;4,8
465;5,6,11
466;1,2,9,13
467;8,14
468;8
469;8
470;8
471;8
472;5,8,14
473;16
474;1,15,16
475;5,8,14
476;5,14,16
477;1,6
478;1,2,4,5,9,15
479;1,2,16
480;1,13,16
481;8,12
482;5,14
483;3,4,9,12
484;1,2,5,14
485;1,8,18
486;6,16
487;7
488;1,2,3,4,9
489;5,8
490;8,14
491;5
492;5,8
493;5,8
494;5,8
495;8
496;5,8
497;4,5
498;2,4,8
499;6,16
500;8
501;7
502;5,8
503;5
504;4,5
505;5,8,9,14,16
506;2,3,4,5,12
507;1,15
508;2,8,18
509;1,6,16
510;6,11,16
511;3,4,8,9,12
512;3,4,9,12,14
513;3,4,9,12
514;5,14
515;2,18
516;1,5,6
517;7
518;8,14
519;9,11
520;5,6,8,16
521;2,4
522;1,2,3,11,15
523;1,11,15
524;5
525;8,14
526;5,8
527;3,4
528;5,8
529;5,14
530;5
531;5
532;8,16
533;6,8,13,16
534;2,3,4,9,12,14
535;8,17
536;5
537;5
538;5,8
539;8
540;5
541;14
542;5,8
543;8,16
544;8
545;1,6,8,17
546;1,2,13,16
547;5,8
548;8
549;1,2,9
550;5
551;2,3,4,9,12
552;16
553;5
554;5,8,17
555;1
556;8
557;8
558;5,15
559;2,3,4,5,9,15
560;2,5,15
561;8,16
562;8
563;8,13,14,15,16
564;8
565;1,2,5,17
566;5,14
567;1,15,16
568;1,6,8
569;13,16
570;8,14
571;8
572;5
573;8
574;1,2
575;8
576;6,8,16
577;5,14
578;2,3,4,5,12
579;5
580;2,4
581;8,13,18
582;8,14
583;5,9,15
584;5
585;2,3,5
586;7
587;8,9,11,16
588;5
589;8
590;5
591;6,16
592;1,2,16
593;11
594;1,2,14,16
595;1,15
596;3,15
597;11,16
598;5
599;3,4,5
600;5
601;1,15,16
602;5,17
603;8
604;7
605;8,17
606;1,2
607;5,6
608;8,14
609;5,8
610;8
611;8
612;11,13
613;5,6,8
614;8,14
615;1,2,15,16
616;8
617;8,16
618;3,4,8,12,14
619;5,16
620;5
621;1,8,16
622;5,9,14,15
623;8
624;7
625;8
626;1,2,8,16
627;5,11,16
628;8,13,18
629;4,5
630;8,14
631;5,8,14
632;5,14
633;8,16
634;6,8
635;2,4
636;1,2
637;4,5,9
638;5
639;5
640;8
641;8,13
642;2,4
643;5,9,12
644;5
645;6,16
646;5
647;8
648;1,2,16
649;4,5,9
650;5,8,14
651;1,16
652;4,5
653;11
654;5,11
655;8
656;1,2,15,16
657;8
658;5,8,14
659;6,8
660;1,5,6,16
661;6,8,14,16
662;5,6
663;6,8,12,16
664;5
665;1,6,8
666;1,5,6,16
667;11,16
668;15,16
669;4,5
670;8,16
671;4,8,9
672;1,5,6
673;2,3,4,12
674;8,14
675;11,16
676;5,8,14
677;8
678;8
679;2,8,14,17
680;5,8,14
681;5,12,14
682;12,14
683;5,12
684;8,14
685;8,13,14,16
686;13,16
687;5,14
688;8,16
689;5,12,14
690;1,2,13,14,16
691;5,8,14
692;5,6
693;5,6,13,14,16
694;8,14
695;10,13
696;5,8,12,14
697;5,14
698;5,8,14
699;4,8
700;12
701;2,4,9,12
702;8,14,17
703;5
704;8,10,14
705;8,13
706;2,8,15
707;8
708;5
709;8,13,14,16
710;8,10,13,16
711;10,14,16
712;13,14,16
713;8,14
714;6,13,14,16
715;5
716;5,12
717;5,14
718;5,14
719;12
720;1,2,14
721;2
722;6,10,13
723;8,9,14
724;8
725;5,12,14
726;5,8,17
727;5,14
728;8,14,18
729;8
730;5,6
731;5,14
732;2,5
733;4,8,9,14
734;8
735;5,14
736;8,14
737;8
738;8
739;12
740;8,13,16
741;11,15,16
742;2,5,14,17
743;2,5,6,8,14
744;8
745;5,8
746;14,17
747;8,17
748;8
749;8
750;5,8
751;2,4
752;8,14
753;5,8
754;1,2,16
755;8
756;8
757;5,8
758;1,6,8,16
759;1,6
760;6,10
761;8,16
762;1,16
763;4,5
764;8
765;4,5,18
766;2,18
767;2,4,9
768;4,5
769;4,5,9,14
770;4,8
